# Constructed from biom file
#OTU ID	sample3	sample4	sample1	sample2	sample8	sample6	sample5	sample7	sample9
3fae5f8613143331de67406f5765a6a6	4795.0	6613.0	3353.0	7267.0	7263.0	11412.0	7617.0	8484.0	3701.0
de4734a45590da0e000864d3590daaa2	3869.0	3447.0	2031.0	5054.0	2140.0	4218.0	3833.0	2117.0	1174.0
b76773cacbf137c26422765ea3992bc0	2965.0	3382.0	1733.0	4108.0	3399.0	4404.0	3927.0	3573.0	1812.0
f7bd20f173a648d56fb46a0225773c81	2045.0	2285.0	1133.0	2761.0	1693.0	2911.0	2439.0	1850.0	3266.0
9a9b4ee57aae847013b60aa6c6751840	1873.0	2081.0	988.0	2377.0	2168.0	2918.0	2310.0	1944.0	975.0
bf167133ee7d0befb7f44d5aa1768df4	1861.0	2184.0	1069.0	2640.0	2076.0	3060.0	2680.0	2112.0	981.0
2b6c6fd2de5b987dc4193462ff0ee397	1411.0	2456.0	796.0	1897.0	2295.0	3086.0	3131.0	3131.0	1254.0
683c82f0d05c3ea3eb57a3fc06e042dd	1214.0	1373.0	811.0	1872.0	2104.0	2263.0	1576.0	2156.0	815.0
386c0a3ba2f109dfc5109bfcb90d886f	1162.0	643.0	761.0	2043.0	1615.0	854.0	678.0	1780.0	733.0
508bdf9e2e613ecb39d7ff9cb7474b91	1128.0	1318.0	579.0	1579.0	1095.0	1594.0	1450.0	1114.0	528.0
bcc60835cd4225c0d6f73f67bcc26a82	997.0	507.0	786.0	1928.0	1294.0	728.0	476.0	1177.0	576.0
b644a4163a8a62fb03c437a4515e9d22	955.0	480.0	334.0	944.0	84.0	533.0	518.0	68.0	39.0
3c61502ee4d8e709b7bf246b6b841c29	848.0	471.0	681.0	1888.0	434.0	703.0	518.0	392.0	283.0
e07acc655af0809d81905d27869af903	359.0	496.0	140.0	362.0	110.0	569.0	580.0	109.0	85.0
6ab4051ccfd32a64b13218241c5d3371	344.0	259.0	433.0	1035.0	571.0	615.0	328.0	813.0	593.0
f7fb02373851308aac66983d2f61b7b3	115.0	112.0	35.0	93.0	12.0	117.0	93.0	22.0	12.0
736b57b1549b28057e5fda4ae5d72f08	52.0	36.0	8.0	34.0	3.0	24.0	33.0	11.0	4.0
2a488ab476baf53655d45f42618391eb	18.0	8.0	0.0	2.0	0.0	4.0	12.0	0.0	2.0
53302eac30803b6067f817eff7201add	10.0	7.0	2.0	11.0	0.0	4.0	10.0	0.0	0.0
ce25040717e244b48225e7fa4cebc695	2.0	0.0	0.0	0.0	7.0	0.0	0.0	6.0	0.0
675e8e9e723e599b44c7c9a5ce02ced5	0.0	6.0	0.0	0.0	9.0	0.0	0.0	12.0	1.0
b6917482431e83651b4ddbd6405cb431	0.0	0.0	2.0	2.0	0.0	7.0	0.0	0.0	0.0
7a1a69683c1fb1d31870cb2b39c89610	0.0	0.0	0.0	0.0	27.0	0.0	0.0	30.0	5794.0
3e7cade5978f3f3ed46674c6479bdd33	0.0	0.0	0.0	0.0	10.0	0.0	0.0	8.0	2.0
602fb0b8dee88760219c73e22b33e69d	0.0	0.0	0.0	0.0	7.0	3.0	0.0	3.0	4.0
ac955a6c288ba41aa1ab9a8cb80e7313	0.0	0.0	0.0	0.0	5.0	0.0	0.0	5.0	332.0
576ca88c89e447267060be347ff5a2a7	0.0	0.0	0.0	0.0	0.0	3.0	2.0	6.0	0.0
d795d163b58089d61f4f24c101588b23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0
7aa8742d840e620129b07020495fce7f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0
