# Constructed from biom file
#OTU ID	sample3	sample4	sample1	sample2	sample8	sample6	sample5	sample7	sample9
6a13a4fe53e1037d209d87ea6ba81d0d	7598.0	11786.0	18245.0	19622.0	6999.0	13871.0	11094.0	8970.0	7373.0
d48becb0ece7b0f7fe0f58a79ca051b9	5772.0	11236.0	15018.0	15364.0	5240.0	13233.0	10054.0	6650.0	6629.0
4e6f29e7070f51279bdf33070693f97b	1777.0	3941.0	4978.0	2756.0	250.0	4455.0	5739.0	309.0	229.0
357b6c8e1294694509cd5bcd4f62e665	952.0	1812.0	2304.0	2634.0	687.0	2179.0	1491.0	806.0	800.0
e951655be242c30cdf287385dd1f901f	917.0	1760.0	2334.0	2671.0	1021.0	2010.0	1681.0	1372.0	1270.0
baab8d7e00ce66e62318bbaad021df19	207.0	304.0	595.0	639.0	69.0	382.0	310.0	67.0	45.0
690135a23b6f5a27b8dc0a503d4a6cdc	97.0	137.0	203.0	249.0	92.0	171.0	169.0	82.0	99.0
28647ad2637b9fa128aabcb41a9b3ef9	86.0	57.0	122.0	197.0	43.0	54.0	46.0	41.0	22.0
713dff1f736aede5b15ca2d446a5726b	78.0	58.0	206.0	212.0	61.0	44.0	34.0	57.0	40.0
0012708224d7e39d577dd2fa2bf6a0c0	49.0	10.0	81.0	93.0	13.0	5.0	7.0	17.0	24.0
1b2ecbca1ebc5e7b35884103eda929b5	44.0	52.0	116.0	86.0	8.0	54.0	28.0	5.0	12.0
65c44903ec04b84826d2d44b25647ef0	37.0	48.0	72.0	104.0	18.0	82.0	67.0	11.0	14.0
ffa00c3de9528d825d472ca24931f194	37.0	195.0	153.0	85.0	1.0	161.0	197.0	12.0	4.0
2c1cc3b17d2c4da80a8565149a82fc59	36.0	140.0	119.0	67.0	7.0	134.0	168.0	0.0	14.0
2ceeeefa5c977570cacc113a4ca81e36	34.0	81.0	71.0	66.0	2.0	83.0	78.0	2.0	6.0
d7a1857a5418ce29ecedd99ddc13bed9	33.0	45.0	75.0	105.0	19.0	54.0	50.0	30.0	22.0
a0247724bb7a4aef68a15f60c7b635a7	3.0	0.0	3.0	0.0	4.0	0.0	5.0	4.0	0.0
8072d4962e2d75c5bc4eda403469ea94	3.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	5.0
07d5f2d23ce7dc0a97828f84ee4a2467	3.0	3.0	4.0	0.0	0.0	3.0	0.0	0.0	0.0
8e0f0a03781d3b5409c1456e643ac92f	2.0	2.0	5.0	6.0	0.0	0.0	0.0	0.0	0.0
9cca211dbfac237081a3b61275fab591	0.0	14.0	13.0	7.0	0.0	9.0	6.0	0.0	0.0
9051d158324f7cfb0117496a79e5d1b1	0.0	2.0	0.0	6.0	2.0	3.0	0.0	3.0	0.0
598d05cb5c17737b17d6941e21313c9d	0.0	0.0	0.0	0.0	37.0	0.0	0.0	29.0	15.0
aae883202edf57432d9478b54ca67998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0
